trip_id,rider_usage_codes,count_code_0,count_code_2,count_code_3
10004003180617-JUNE23,['0' '2'],1,1,0
10004003180629-JUNE23,['0' '2'],1,1,0
10004003180643-JUNE23,['0' '2'],1,1,0
10004003180656-JUNE23,['0' '2'],1,1,0
10004003180711-JUNE23,['0' '2'],1,1,0
10004003180725-JUNE23,['0' '2'],1,1,0
10004003180739-JUNE23,['0' '2'],1,1,0
10004003180752-JUNE23,['0' '2'],1,1,0
10004003180807-JUNE23,['0' '2'],1,1,0
10004003180822-JUNE23,['0' '2'],1,1,0
10004003180837-JUNE23,['0' '2'],1,1,0
10004003180852-JUNE23,['0' '2'],1,1,0
10004003180906-JUNE23,['0' '2'],1,1,0
10004003180920-JUNE23,['0' '2'],1,1,0
10004003180935-JUNE23,['0' '2'],1,1,0
10004003180949-JUNE23,['0' '2'],1,1,0
10004003181004-JUNE23,['0' '2'],1,1,0
10004003181018-JUNE23,['0' '2'],1,1,0
10004003181032-JUNE23,['0' '2'],1,1,0
10004003181046-JUNE23,['0' '2'],1,1,0
10004003181101-JUNE23,['0' '2'],1,1,0
10004003181115-JUNE23,['0' '2'],1,1,0
10004003181129-JUNE23,['0' '2'],1,1,0
10004003181142-JUNE23,['0' '2'],1,1,0
10004003181155-JUNE23,['0' '2'],1,1,0
10004003181210-JUNE23,['0' '2'],1,1,0
10004003181224-JUNE23,['0' '2'],1,1,0
10004003181238-JUNE23,['0' '2'],1,1,0
10004003181252-JUNE23,['0' '2'],1,1,0
10004003181307-JUNE23,['0' '2'],1,1,0
10004003181322-JUNE23,['0' '2'],1,1,0
10004003181336-JUNE23,['0' '2'],1,1,0
10004003181350-JUNE23,['0' '2'],1,1,0
10004003181404-JUNE23,['0' '2'],1,1,0
10004003181418-JUNE23,['0' '2'],1,1,0
10004003181433-JUNE23,['0' '2'],1,1,0
10004003181446-JUNE23,['0' '2'],1,1,0
10004003181459-JUNE23,['0' '2'],1,1,0
10004003181513-JUNE23,['0' '2'],1,1,0
10004003181528-JUNE23,['0' '2'],1,1,0
10004003181542-JUNE23,['0' '2'],1,1,0
10004003181557-JUNE23,['0' '2'],1,1,0
10004003191611-JUNE23,['2'],0,1,0
10004003191626-JUNE23,['2'],0,1,0
10004003191640-JUNE23,['2'],0,1,0
10004003191655-JUNE23,['2'],0,1,0
10004003191710-JUNE23,['2'],0,1,0
10004003191728-JUNE23,['2'],0,1,0
10004003191747-JUNE23,['2'],0,1,0
10004003230437-JUNE23,['0' '2'],1,1,0
10004003230454-JUNE23,['0' '2'],1,1,0
10004003230509-JUNE23,['0' '2'],1,1,0
10004003230521-JUNE23,['0' '2'],1,1,0
10004003230532-JUNE23,['0' '2'],1,1,0
10004003230555-JUNE23,['0' '2'],1,1,0
10004003230620-JUNE23,['0' '2'],1,1,0
10004003230633-JUNE23,['0' '2'],1,1,0
10004003230646-JUNE23,['0' '2'],1,1,0
10004003230700-JUNE23,['0' '2'],1,1,0
10004003230713-JUNE23,['0' '2'],1,1,0
10004003230726-JUNE23,['0' '2'],1,1,0
10004003230739-JUNE23,['0' '2'],1,1,0
10004003230753-JUNE23,['0' '2'],1,1,0
10004003230808-JUNE23,['0' '2'],1,1,0
10004003230823-JUNE23,['0' '2'],1,1,0
10004003230837-JUNE23,['0' '2'],1,1,0
10004003230851-JUNE23,['0' '2'],1,1,0
10004003230905-JUNE23,['0' '2'],1,1,0
10004003230920-JUNE23,['0' '2'],1,1,0
10004003230934-JUNE23,['0' '2'],1,1,0
10004003230949-JUNE23,['0' '2'],1,1,0
10004003231002-JUNE23,['0' '2'],1,1,0
10004003231016-JUNE23,['0' '2'],1,1,0
10004003231030-JUNE23,['0' '2'],1,1,0
10004003231044-JUNE23,['0' '2'],1,1,0
10004003231057-JUNE23,['0' '2'],1,1,0
10004003231111-JUNE23,['0' '2'],1,1,0
10004003231123-JUNE23,['0' '2'],1,1,0
10004003231138-JUNE23,['0' '2'],1,1,0
10004003231152-JUNE23,['0' '2'],1,1,0
10004003231206-JUNE23,['0' '2'],1,1,0
10004003231219-JUNE23,['0' '2'],1,1,0
10004003231233-JUNE23,['0' '2'],1,1,0
10004003231248-JUNE23,['0' '2'],1,1,0
10004003231303-JUNE23,['0' '2'],1,1,0
10004003231315-JUNE23,['0' '2'],1,1,0
10004003231330-JUNE23,['0' '2'],1,1,0
10004003231342-JUNE23,['0' '2'],1,1,0
10004003231355-JUNE23,['0' '2'],1,1,0
10004003231408-JUNE23,['0' '2'],1,1,0
10004003231421-JUNE23,['0' '2'],1,1,0
10004003231436-JUNE23,['0' '2'],1,1,0
10004003231449-JUNE23,['0' '2'],1,1,0
10004003231533-JUNE23,['0' '2'],1,1,0
10004003231630-JUNE23,['0' '2'],1,1,0
10004003231723-JUNE23,['0' '2'],1,1,0
10004003231736-JUNE23,['0' '2'],1,1,0
10004003231838-JUNE23,['0' '2'],1,1,0
10004003231908-JUNE23,['0' '2'],1,1,0
10004003232000-JUNE23,['0' '2'],1,1,0
10004003232046-JUNE23,['0' '2'],1,1,0
10004003232117-JUNE23,['0' '2'],1,1,0
10004003232132-JUNE23,['0' '2'],1,1,0
10004003241504-JUNE23,['2'],0,1,0
10004003241518-JUNE23,['2'],0,1,0
