route_id,direction_id,route_code,shape_id_counts,shape_ids_list,count_of_different_stop_ids,different_stop_ids,stop_names_list
10-13168,0,10,14,"100750_JUNE23,100753_JUNE23,100767_JUNE23,100769_JUNE23,100771_JUNE23,100813_JUNE23,100814_JUNE23,100815_JUNE23,100816_JUNE23,100817_JUNE23,100818_JUNE23,100819_JUNE23,100820_JUNE23,100821_JUNE23",0,[],
10-13168,0,48,7,"100750_JUNE23,100753_JUNE23,100813_JUNE23,100815_JUNE23,100816_JUNE23,100820_JUNE23,100821_JUNE23",0,[],
10-13168,1,10,9,"100751_JUNE23,100756_JUNE23,100794_JUNE23,100796_JUNE23,100800_JUNE23,100801_JUNE23,100804_JUNE23,100805_JUNE23,100806_JUNE23",1,[3203],Arden Layover
10-13168,1,48,6,"100751_JUNE23,100756_JUNE23,100796_JUNE23,100800_JUNE23,100801_JUNE23,100805_JUNE23",0,[],
102-13168,0,102,4,"1020037_JUNE23,1020038_JUNE23,1020067_JUNE23,1020068_JUNE23",0,[],
102-13168,1,102,3,"1020072_JUNE23,1020074_JUNE23,1020075_JUNE23",67,"[13570, 1417, 10378, 10379, 10380, 10381, 11278, 11279, 11280, 10383, 10384, 4881, 4882, 10390, 794, 6172, 6173, 13470, 6175, 14111, 14112, 6178, 11046, 20500011, 2731, 1838, 16266, 15666, 15667, 11445, 11446, 821, 11189, 16057, 11190, 10429, 829, 10054, 10056, 78921, 841, 5708, 849, 1490, 9940, 853, 9942, 855, 9945, 858, 14555, 9951, 11236, 9959, 9960, 13675, 9964, 16493, 13422, 11244, 11248, 9969, 890, 9723, 104700, 9725, 4863]","Hooper / Gage, Hooper / 60th, Hooper / Slauson, Hooper / 55th, Hooper / 51st, Hooper / 48th, Hooper / Vernon, Hooper / 42nd, 43rd / Crenshaw, Florence / Malabar, Jefferson / Flower, Exposition / Vermont, Martin Luther King Jr / Arlington, Central / 68th, Central / Florence, Central / Gage, Western / Exposition, Seville / Broadway, Seville / Grand, Seville / Live Oak, Seville / Santa Ana, 41st / Hooper, 41st / Central, Florence / Compton, Florence Station, Florence / Hooper, Florence / Miramonte, Florence / Pacific, Florence / Alameda, Florence / Santa Fe, Florence / Wilson, Jefferson / Main, Jefferson / Trinity, Exposition / Trousdale, Exposition / Halldale, Exposition / Raymond, Exposition / Catalina, Exposition / Harvard, Exposition / Normandie, Exposition / Watt, Figueroa / USC McCarthy, Florence / Holmes, Jefferson / Central, Jefferson / Maple, Martin Luther King Jr / Gramercy, Martin Luther King Jr / Roxton, Martin Luther King Jr / Western, La Tijera / 59th, La Tijera / 62nd, La Tijera / 64th, Leimert / Stocker, Leimert / Sutro, Figueroa / Exposition, Figueroa / Jefferson, Jefferson / Grand, La Tijera / Fairview, Western / 38th, Western / 39th, Palm & Seville Terminal, 43rd / Degnan, Leimert / 43rd, Jefferson / Hope, La Tijera / Slauson, Jefferson / Broadway, Jefferson / San Pedro, Jefferson / Griffith, Florence / Seville"
105-13168,0,105,4,"1050266_JUNE23,1050267_JUNE23,1050268_JUNE23,1050269_JUNE23",42,"[16532, 2464, 70500001, 2465, 4518, 14378, 4523, 9131, 4525, 2734, 4526, 9130, 6065, 6066, 6067, 2742, 2746, 15299, 3653, 3655, 3656, 3657, 3658, 5210, 5211, 5212, 5213, 13406, 5214, 5216, 5217, 5218, 5220, 5221, 5223, 5224, 5225, 16362, 36587, 4976, 3315, 5886]","Holloway / Hancock, Holloway / La Cienega, Martin Luther King Jr / Coliseum, Martin Luther King Jr / Hillcrest, Martin Luther King Jr / Nicolet, Marlton / Thrive, La Cienega / Beverly, La Cienega / Melrose, La Cienega / Rosewood, La Cienega / Santa Monica, La Cienega / Waring, Obama / Cloverdale, Obama / Hauser, Obama / La Brea, Obama / La Cienega, Fairfax / Adams, La Cienega / Airdrome, La Cienega / Cashio, La Cienega / Clemson, La Cienega / Gregory, La Cienega / Guthrie, La Cienega / 4th, La Cienega / Sawyer, La Cienega / 18th, La Cienega / San Vicente, La Cienega / Jefferson, La Cienega / Olympic, La Cienega / Pico, La Cienega / Whitworth, San Vicente / Cynthia, Santa Rosalia / Buckingham, Santa Rosalia / Hillcrest, Santa Rosalia / West, Cadillac / La Cienega, Venice / Cadillac, Washington Fairfax Hub, Santa Monica / San Vicente, Venice / Fairfax, San Vicente / Sunset, Division 7 Layover, La Cienega / Wilshire, La Cienega / 3rd"
105-13168,1,105,4,"1050258_JUNE23,1050259_JUNE23,1050261_JUNE23,1050262_JUNE23",1,[16532],Division 7 Layover
106-13168,0,106,3,"1060069_JUNE23,1060070_JUNE23,1060071_JUNE23",10,"[3296, 16224, 16225, 16226, 3279, 369, 13523, 1620, 10171, 16223]","Paramount / Montebello, Riggin / Garfield, The Shops At Montebello Layover, The Shops At Montebello, Pomona / Wilcox, Garfield / Pomona, Riggin / Bradshawe, Riggin / Ferdinand, Riggin / Findlay, Riggin / Gerhart"
106-13168,1,106,2,"1060067_JUNE23,1060068_JUNE23",14,"[2147, 3299, 176165, 646, 11785, 7100, 11788, 3279, 10173, 7101, 7932, 7933, 7934, 7935]","Riggin / Atlantic, Via Campo / Vail, The Shops At Montebello Layover, The Shops At Montebello / Kaiser Permanente, Via Campo / Garfield, Via Campo / Wilcox, Riggin / Bradshawe, Riggin / Ferdinand, Riggin / Findlay, Riggin / Gerhart, Riggin / Garfield, The Shops At Montebello - Macys, The Shops At Montebello - JCPenney, Town Center / Paramount"
