route_id,direction_id,route_code,number_of_shapes_per_direction
10-13168,0,10,14
10-13168,0,48,7
10-13168,1,10,9
10-13168,1,48,6
102-13168,0,102,4
102-13168,1,102,3
105-13168,0,105,4
105-13168,1,105,4
106-13168,0,106,3
106-13168,1,106,2
108-13168,0,108,12
108-13168,1,108,8
110-13168,0,110,4
110-13168,1,110,4
111-13168,0,111,8
111-13168,1,111,10
115-13168,0,115,9
115-13168,1,115,9
117-13168,0,117,3
117-13168,1,117,3
120-13168,0,120,3
120-13168,1,120,3
125-13168,0,125,1
125-13168,1,125,1
127-13168,0,127,2
127-13168,1,127,2
128-13168,0,128,1
128-13168,1,128,1
134-13168,0,134,1
134-13168,1,134,1
14-13168,0,14,3
14-13168,0,37,3
14-13168,1,14,3
14-13168,1,37,3
150-13168,0,150,4
150-13168,1,150,4
152-13168,0,152,4
152-13168,1,152,3
154-13168,0,154,1
154-13168,1,154,1
155-13168,0,155,1
155-13168,1,155,1
158-13168,0,158,1
158-13168,1,158,2
16-13168,0,16,2
16-13168,1,16,3
161-13168,0,161,2
161-13168,1,161,1
162-13168,0,162,2
162-13168,1,162,3
164-13168,0,164,2
164-13168,1,164,1
165-13168,0,165,3
165-13168,1,165,4
166-13168,0,166,5
166-13168,1,166,2
167-13168,0,167,2
167-13168,1,167,2
169-13168,0,169,4
169-13168,1,169,5
177-13168,0,177,1
177-13168,1,177,1
179-13168,0,179,2
179-13168,1,179,2
18-13168,0,18,7
18-13168,1,18,7
180-13168,0,180,4
180-13168,1,180,3
182-13168,0,182,3
182-13168,1,182,2
2-13168,0,2,5
2-13168,1,2,3
20-13168,0,20,6
20-13168,1,20,5
202-13168,0,202,1
202-13168,1,202,1
204-13168,0,204,1
204-13168,1,204,1
205-13168,0,205,2
205-13168,0,205,2
205-13168,1,205,1
205-13168,1,205,1
206-13168,0,206,2
206-13168,1,206,2
207-13168,0,207,2
207-13168,1,207,3
209-13168,0,209,1
209-13168,1,209,1
210-13168,0,210,4
210-13168,1,210,2
211-13168,0,211,2
211-13168,0,215,2
211-13168,1,211,1
211-13168,1,215,1
212-13168,0,212,2
212-13168,1,212,2
217-13168,0,217,5
217-13168,1,217,7
218-13168,0,218,2
218-13168,1,218,2
222-13168,0,222,2
222-13168,1,222,2
224-13168,0,224,4
224-13168,1,224,3
230-13168,0,230,2
230-13168,1,230,3
232-13168,0,232,1
232-13168,1,232,2
233-13168,0,233,6
233-13168,1,233,6
234-13168,0,234,3
234-13168,1,234,3
236-13168,0,235,1
236-13168,0,236,2
236-13168,1,235,1
236-13168,1,236,1
237-13168,0,237,2
237-13168,1,237,2
240-13168,0,240,3
240-13168,1,240,3
242-13168,0,242,1
242-13168,0,243,1
242-13168,1,242,1
242-13168,1,243,1
244-13168,0,244,1
244-13168,1,244,2
246-13168,0,246,2
246-13168,1,246,2
251-13168,0,251,7
251-13168,1,251,5
256-13168,0,256,3
256-13168,1,256,2
258-13168,0,258,3
258-13168,1,258,3
260-13168,0,260,3
260-13168,1,260,3
265-13168,0,265,1
