route_id,route_code,direction_id,shape_id,stop_ids_list,stop_names_list,number_of_stops_per_shape
10-13168,10,0,100750_JUNE23,"3202,3217,3232,3227,3231,4716,3212,3221,11689,3205,3228,3229,24251,730,3632,2523,24249,8106,8103,8099,8100,8092,3947,4719,8089,8102,8087,8085,8086,8090,16374","Clinton / Hoover,  Hoover / Plata,  Melrose / Arden,  Melrose / Heliotrope,  Melrose / Harvard,  Melrose / Larchmont,  Melrose / Normandie,  Melrose / Van Ness,  Melrose / Vermont,  Melrose / Virgil,  Melrose / Wilton,  Melrose / Windsor,  Hoover / Bellevue,  Temple / Rosemont,  Melrose / Western,  Temple / Alvarado,  Temple / Douglas,  Temple / Edgeware,  Temple / Glendale,  Temple / Bonnie Brae,  Temple / Boylston,  Temple / Carondelet,  Temple / Occidental,  Temple / Rampart,  Temple / Union,  Temple / Vendome,  Temple / Robinson,  Melrose / Alexandria,  Temple / Beaudry,  Temple / Hoover,  Clinton / Virgil",31
10-13168,10,0,100753_JUNE23,"3203,3202,3217,3232,3227,3231,4716,3212,3221,11689,3205,3228,3229,24251,730,3632,2523,24249,8106,8103,8099,8100,8092,3947,4719,8089,8102,8087,8085,8086,8090,16374","Clinton / Hoover,  Hoover / Plata,  Melrose / Arden,  Arden Layover,  Melrose / Heliotrope,  Melrose / Harvard,  Melrose / Larchmont,  Melrose / Normandie,  Melrose / Van Ness,  Melrose / Vermont,  Melrose / Virgil,  Melrose / Wilton,  Melrose / Windsor,  Hoover / Bellevue,  Temple / Rosemont,  Melrose / Western,  Temple / Alvarado,  Temple / Douglas,  Temple / Edgeware,  Temple / Glendale,  Temple / Bonnie Brae,  Temple / Boylston,  Temple / Carondelet,  Temple / Occidental,  Temple / Rampart,  Temple / Union,  Temple / Vendome,  Temple / Robinson,  Melrose / Alexandria,  Temple / Beaudry,  Temple / Hoover,  Clinton / Virgil",32
10-13168,10,0,100767_JUNE23,"17013,3222,3226,3210,3220,3225,3215,3213,3214,3233,3202,3217,3232,3227,3231,4716,3212,3221,11689,3205,3228,3229,24251,730,3632,2523,24249,8106,8103,8099,8100,8092,3947,4719,8089,8102,8087,8085,8086,8090,16374,8094,3587,16381,5133,5135,13596,13597,13598,2456,5142,7439,13714,13700,13716,11606","Clinton / Hoover,  Hill / 7th,  Hoover / Plata,  Melrose / Arden,  Melrose / Heliotrope,  Melrose / Gardner,  Melrose / Harvard,  Melrose / Highland,  Melrose / June,  Melrose / La Brea,  Melrose / Larchmont,  Melrose / Martel,  Melrose / Normandie,  Melrose / Ogden,  Melrose / Poinsettia,  Melrose / Spaulding,  Melrose / Van Ness,  Melrose / Vermont,  Melrose / Virgil,  Melrose / Wilton,  Melrose / Windsor,  Melrose / Wilcox,  Temple / Grand,  Hoover / Bellevue,  Temple / Rosemont,  Melrose / Western,  Temple / Alvarado,  Hill / 1st,  Hill / 3rd,  Hill / 8th,  9th / Broadway,  Temple / Douglas,  Temple / Edgeware,  Temple / Glendale,  Temple / Bonnie Brae,  Temple / Boylston,  Temple / Carondelet,  Temple / Figueroa,  Temple / Occidental,  Temple / Rampart,  Temple / Union,  Temple / Vendome,  Temple / Robinson,  Main / Venice,  Melrose / Alexandria,  Hill / 4th,  Hill / 5th,  Hill / 6th,  Main / 11th,  Main / 9th,  Main / Pico,  Temple / Beaudry,  Hill / Temple,  Melrose / Fairfax,  Temple / Hoover,  Clinton / Virgil",56
10-13168,10,0,100769_JUNE23,"3203,3202,3217,3232,3227,3231,4716,3212,3221,11689,3205,3228,3229,24251,730,3632,2523,24249,8106,8103,8099,8100,8092,3947,4719,8089,8102,8087,8085,8086,8090,16374,8094,3587,16381,5133,5135,13596,13597,13598,2456,5142,7439,13714,13700,13716,11606,14915","Clinton / Hoover,  Hill / 7th,  Hoover / Plata,  Melrose / Arden,  Arden Layover,  Melrose / Heliotrope,  Melrose / Harvard,  Melrose / Larchmont,  Melrose / Normandie,  Melrose / Van Ness,  Melrose / Vermont,  Melrose / Virgil,  Melrose / Wilton,  Melrose / Windsor,  Temple / Grand,  Hoover / Bellevue,  Temple / Rosemont,  Melrose / Western,  Temple / Alvarado,  Hill / 1st,  Hill / 3rd,  Hill / 8th,  9th / Broadway,  Temple / Douglas,  Temple / Edgeware,  Temple / Glendale,  Temple / Bonnie Brae,  Temple / Boylston,  Temple / Carondelet,  Temple / Figueroa,  Temple / Occidental,  Temple / Rampart,  Temple / Union,  Temple / Vendome,  Temple / Robinson,  Main / Venice,  Melrose / Alexandria,  Hill / 4th,  Hill / 5th,  Hill / 6th,  Main / 11th,  Main / 9th,  Main / Pico,  Terminal 28 - West Lot,  Temple / Beaudry,  Hill / Temple,  Temple / Hoover,  Clinton / Virgil",48
10-13168,10,0,100771_JUNE23,"3202,3217,3232,3227,3231,4716,3212,3221,11689,3205,3228,3229,24251,730,3632,2523,24249,8106,8103,8099,8100,8092,3947,4719,8089,8102,8087,8085,8086,8090,16374,8094,3587,16381,5133,5135,13596,13597,13598,2456,5142,7439,13714,13700,13716,11606,14915","Clinton / Hoover,  Hill / 7th,  Hoover / Plata,  Melrose / Arden,  Melrose / Heliotrope,  Melrose / Harvard,  Melrose / Larchmont,  Melrose / Normandie,  Melrose / Van Ness,  Melrose / Vermont,  Melrose / Virgil,  Melrose / Wilton,  Melrose / Windsor,  Temple / Grand,  Hoover / Bellevue,  Temple / Rosemont,  Melrose / Western,  Temple / Alvarado,  Hill / 1st,  Hill / 3rd,  Hill / 8th,  9th / Broadway,  Temple / Douglas,  Temple / Edgeware,  Temple / Glendale,  Temple / Bonnie Brae,  Temple / Boylston,  Temple / Carondelet,  Temple / Figueroa,  Temple / Occidental,  Temple / Rampart,  Temple / Union,  Temple / Vendome,  Temple / Robinson,  Main / Venice,  Melrose / Alexandria,  Hill / 4th,  Hill / 5th,  Hill / 6th,  Main / 11th,  Main / 9th,  Main / Pico,  Terminal 28 - West Lot,  Temple / Beaudry,  Hill / Temple,  Temple / Hoover,  Clinton / Virgil",47
10-13168,10,0,100813_JUNE23,"6000,2192,3206,3216,3224,3211,3209,17013,3222,3226,3210,3220,3225,3215,3213,3214,3233,3202,3217,3232,3227,3231,4716,3212,3221,11689,3205,3228,3229,24251,730,3632,2523,24249,8106,8103,8099,8100,8092,3947,4719,8089,8102,8087,8085,8086,8090,16374","Clinton / Hoover,  San Vicente / Melrose,  Hoover / Plata,  Melrose / Arden,  Melrose / Heliotrope,  Melrose / Huntley,  Melrose / Crescent Heights,  Melrose / Gardner,  Melrose / Harper,  Melrose / Harvard,  Melrose / Highland,  Melrose / June,  Melrose / La Brea,  Melrose / La Cienega,  Melrose / Larchmont,  Melrose / Martel,  Melrose / Normandie,  Melrose / Ogden,  Melrose / Orlando,  Melrose / Poinsettia,  Melrose / Spaulding,  Melrose / Van Ness,  Melrose / Vermont,  Melrose / Virgil,  Melrose / Wilton,  Melrose / Windsor,  Melrose / Wilcox,  Hoover / Bellevue,  Temple / Rosemont,  Melrose / Western,  Temple / Alvarado,  Santa Monica / Larrabee,  Temple / Douglas,  Temple / Edgeware,  Temple / Glendale,  Temple / Bonnie Brae,  Temple / Boylston,  Temple / Carondelet,  Temple / Occidental,  Temple / Rampart,  Temple / Union,  Temple / Vendome,  Temple / Robinson,  Melrose / Alexandria,  Temple / Beaudry,  Melrose / Fairfax,  Temple / Hoover,  Clinton / Virgil",48
10-13168,10,0,100814_JUNE23,"6000,2192,3206,3216,3224,3211,3209,17013,3222,3226,3210,3220,3225,3215,3213,3214,3233,3202,3217,3232,3227,3231,4716,3212,3221,11689,3205,3228,3229,24251,730,3632,2523,24249,8106,8103,8099,8100,8092,3947,4719,8089,8102,8087,8085,8086,8090,16374,8094,3587,16381,5133,5135,13596,13597,13598,2456,5142,7439,13714,13700,13716,11606,14915","Clinton / Hoover,  San Vicente / Melrose,  Hill / 7th,  Hoover / Plata,  Melrose / Arden,  Melrose / Heliotrope,  Melrose / Huntley,  Melrose / Crescent Heights,  Melrose / Gardner,  Melrose / Harper,  Melrose / Harvard,  Melrose / Highland,  Melrose / June,  Melrose / La Brea,  Melrose / La Cienega,  Melrose / Larchmont,  Melrose / Martel,  Melrose / Normandie,  Melrose / Ogden,  Melrose / Orlando,  Melrose / Poinsettia,  Melrose / Spaulding,  Melrose / Van Ness,  Melrose / Vermont,  Melrose / Virgil,  Melrose / Wilton,  Melrose / Windsor,  Melrose / Wilcox,  Temple / Grand,  Hoover / Bellevue,  Temple / Rosemont,  Melrose / Western,  Temple / Alvarado,  Hill / 1st,  Hill / 3rd,  Hill / 8th,  Santa Monica / Larrabee,  9th / Broadway,  Temple / Douglas,  Temple / Edgeware,  Temple / Glendale,  Temple / Bonnie Brae,  Temple / Boylston,  Temple / Carondelet,  Temple / Figueroa,  Temple / Occidental,  Temple / Rampart,  Temple / Union,  Temple / Vendome,  Temple / Robinson,  Main / Venice,  Melrose / Alexandria,  Hill / 4th,  Hill / 5th,  Hill / 6th,  Main / 11th,  Main / 9th,  Main / Pico,  Terminal 28 - West Lot,  Temple / Beaudry,  Hill / Temple,  Melrose / Fairfax,  Temple / Hoover,  Clinton / Virgil",64
10-13168,10,0,100815_JUNE23,"6000,2192,3206,3216,3224,3211,3209,17013,3222,3226,3210,3220,3225,3215,3213,3214,3233,3202,3217,3232,3227,3231,4716,3212,3221,11689,3205,3228,3229,24251,730,3632,2523,24249,8106,8103,8099,8100,8092,3947,4719,8089,8102,8087,8085,8086,8090,16374","Clinton / Hoover,  San Vicente / Melrose,  Hoover / Plata,  Melrose / Arden,  Melrose / Heliotrope,  Melrose / Huntley,  Melrose / Crescent Heights,  Melrose / Gardner,  Melrose / Harper,  Melrose / Harvard,  Melrose / Highland,  Melrose / June,  Melrose / La Brea,  Melrose / La Cienega,  Melrose / Larchmont,  Melrose / Martel,  Melrose / Normandie,  Melrose / Ogden,  Melrose / Orlando,  Melrose / Poinsettia,  Melrose / Spaulding,  Melrose / Van Ness,  Melrose / Vermont,  Melrose / Virgil,  Melrose / Wilton,  Melrose / Windsor,  Melrose / Wilcox,  Hoover / Bellevue,  Temple / Rosemont,  Melrose / Western,  Temple / Alvarado,  Santa Monica / Larrabee,  Temple / Douglas,  Temple / Edgeware,  Temple / Glendale,  Temple / Bonnie Brae,  Temple / Boylston,  Temple / Carondelet,  Temple / Occidental,  Temple / Rampart,  Temple / Union,  Temple / Vendome,  Temple / Robinson,  Melrose / Alexandria,  Temple / Beaudry,  Melrose / Fairfax,  Temple / Hoover,  Clinton / Virgil",48
10-13168,10,0,100816_JUNE23,"2192,3206,3216,3224,3211,3209,17013,3222,3226,3210,3220,3225,3215,3213,3214,3233,3202,3217,3232,3227,3231,4716,3212,3221,11689,3205,3228,3229,24251,730,3632,2523,24249,8106,8103,8099,8100,8092,3947,4719,8089,8102,8087,8085,8086,8090,16374","Clinton / Hoover,  San Vicente / Melrose,  Hoover / Plata,  Melrose / Arden,  Melrose / Heliotrope,  Melrose / Huntley,  Melrose / Crescent Heights,  Melrose / Gardner,  Melrose / Harper,  Melrose / Harvard,  Melrose / Highland,  Melrose / June,  Melrose / La Brea,  Melrose / La Cienega,  Melrose / Larchmont,  Melrose / Martel,  Melrose / Normandie,  Melrose / Ogden,  Melrose / Orlando,  Melrose / Poinsettia,  Melrose / Spaulding,  Melrose / Van Ness,  Melrose / Vermont,  Melrose / Virgil,  Melrose / Wilton,  Melrose / Windsor,  Melrose / Wilcox,  Hoover / Bellevue,  Temple / Rosemont,  Melrose / Western,  Temple / Alvarado,  Temple / Douglas,  Temple / Edgeware,  Temple / Glendale,  Temple / Bonnie Brae,  Temple / Boylston,  Temple / Carondelet,  Temple / Occidental,  Temple / Rampart,  Temple / Union,  Temple / Vendome,  Temple / Robinson,  Melrose / Alexandria,  Temple / Beaudry,  Melrose / Fairfax,  Temple / Hoover,  Clinton / Virgil",47
10-13168,10,0,100817_JUNE23,"2192,3206,3216,3224,3211,3209,17013,3222,3226,3210,3220,3225,3215,3213,3214,3233,3202,3217,3232,3227,3231,4716,3212,3221,11689,3205,3228,3229,24251,730,3632,2523,24249,8106,8103,8099,8100,8092,3947,4719,8089,8102,8087,8085,8086,8090,16374,8094,3587,16381,5133,5135,13596,13597,13598,2456,5142,7439,13714,13700,13716,11606,14915","Clinton / Hoover,  San Vicente / Melrose,  Hill / 7th,  Hoover / Plata,  Melrose / Arden,  Melrose / Heliotrope,  Melrose / Huntley,  Melrose / Crescent Heights,  Melrose / Gardner,  Melrose / Harper,  Melrose / Harvard,  Melrose / Highland,  Melrose / June,  Melrose / La Brea,  Melrose / La Cienega,  Melrose / Larchmont,  Melrose / Martel,  Melrose / Normandie,  Melrose / Ogden,  Melrose / Orlando,  Melrose / Poinsettia,  Melrose / Spaulding,  Melrose / Van Ness,  Melrose / Vermont,  Melrose / Virgil,  Melrose / Wilton,  Melrose / Windsor,  Melrose / Wilcox,  Temple / Grand,  Hoover / Bellevue,  Temple / Rosemont,  Melrose / Western,  Temple / Alvarado,  Hill / 1st,  Hill / 3rd,  Hill / 8th,  9th / Broadway,  Temple / Douglas,  Temple / Edgeware,  Temple / Glendale,  Temple / Bonnie Brae,  Temple / Boylston,  Temple / Carondelet,  Temple / Figueroa,  Temple / Occidental,  Temple / Rampart,  Temple / Union,  Temple / Vendome,  Temple / Robinson,  Main / Venice,  Melrose / Alexandria,  Hill / 4th,  Hill / 5th,  Hill / 6th,  Main / 11th,  Main / 9th,  Main / Pico,  Terminal 28 - West Lot,  Temple / Beaudry,  Hill / Temple,  Melrose / Fairfax,  Temple / Hoover,  Clinton / Virgil",63
